,precipitation,temperature,air pressure,relative humidity,U-wind,V-wind,PM 2.5,longitude,latitude
0,4.6171875,301.6734,101453.125,76.1624,-2.7150881,1.097831,7.2,-97.54558,25.83403
1,0.7734375,301.89996,101153.125,72.7874,-3.487549,2.267753,9.7,-98.10474,26.16785
2,1.15625,300.75934,101478.125,87.78739,-3.6936038,2.3429482,10.8,-97.20959,26.06692
3,0.125,304.1734,99240.625,52.490517,-2.9045413,2.7286904,9.6,-99.45026,27.66537
4,0.171875,301.00934,101528.125,87.62333,-3.748291,2.049003,11.8,-97.31353,27.44611
5,1.0234375,302.1812,101390.625,75.49833,-3.5920413,3.3595498,10.8,-97.57933,27.75109
6,0.0,301.62653,89715.625,29.99833,-3.5314944,0.8019326,8.9,-103.0589,29.28341
7,0.0078125,304.96246,99103.125,47.02958,-2.147705,2.714042,13.5,-98.63235,29.24101
8,0.0078125,304.96246,99628.125,47.68583,-2.246338,2.738456,10.4,-98.31923,29.20973
9,0.8828125,302.9156,101428.125,73.80302,-1.909424,0.6271279,9.4,-80.42415,25.37223
10,0.0,304.64215,98403.125,45.920204,-2.1467285,2.7150185,15.200000000000001,-98.59702,29.51456
11,0.0,304.93903,99028.125,48.49833,-1.581299,3.129081,11.0,-98.28259,29.48311
12,0.3515625,302.18903,101428.125,80.521774,-2.293213,-0.42853618,8.4,-80.3203,25.62432
13,0.0,301.28278,101578.125,90.638954,-0.8664552,2.6144326,12.6,-94.79553,29.3335
14,7.3203125,302.28278,101428.125,75.295204,-1.4660646,-0.38947368,8.2,-81.62861,26.33791
15,0.0703125,304.57184,101290.625,61.388954,-1.4289552,2.7335732,12.2,-95.68423,29.73505
16,0.0703125,304.12653,101290.625,65.92802,-1.4211427,2.738456,13.8,-95.37042,29.69291
17,0.0234375,304.00934,101478.125,67.42802,-1.4943849,2.9181435,13.700000000000001,-95.05702,29.64964
18,9.4765625,302.6734,101440.625,73.84208,-0.62817395,-0.10431743,7.449999999999999,-81.81368,26.68303
19,0.7421875,302.25934,101428.125,76.482704,-2.7863772,0.0011513233,5.5,-80.39218,26.22387
20,0.046875,301.9312,101453.125,81.68584,-2.4855957,-0.42170024,7.3,-80.11024,26.12932
21,0.015625,305.76715,98515.625,41.732704,-0.97973645,3.4532998,12.7,-97.85272,30.27243
22,0.03125,303.6656,101303.125,66.38114,-1.3586427,3.300956,14.25,-95.32105,29.96553
23,0.5078125,303.45465,101528.125,72.68583,-1.3186036,3.3195107,13.7,-94.37828,29.83158
24,3.65625,302.27496,101428.125,84.68584,-0.28735363,-0.38263774,9.6,-82.57818,27.20477
25,9.96875,303.07184,101428.125,74.52958,0.83569324,0.3068154,8.4,-82.28905,27.1171
26,3.6328125,301.3609,101415.625,79.201454,-1.8576661,-0.417794,5.3,-80.57055,26.57145
27,0.5859375,301.5484,101428.125,80.81864,-2.4152832,-0.10529399,6.35,-80.00402,26.38222
28,0.25,303.78278,100715.625,64.72489,-1.1779786,2.611503,14.9,-95.58768,30.28115
29,0.375,303.27496,101478.125,73.59989,-0.277588,2.767753,13.45,-94.00996,30.05663
30,2.96875,301.22028,101428.125,81.34989,-2.543213,0.29216695,4.6,-80.18078,26.73097
31,0.2734375,297.64996,86703.125,41.732704,2.670654,4.0109167,7.3,-111.0689,31.21629
32,0.1015625,306.4234,100240.625,45.865517,-1.465088,3.0519326,12.6,-96.49441,30.67639
