,long,lat,prec,temp,pres,rh,uwnd,vwnd
19362,-108.9342,25.27134,0.1953125,300.1656,101365.625,82.21709,-0.30688488,5.1115026
19363,-108.6373,25.27775,0.2890625,300.26715,101215.625,82.09209,-0.17504895,4.8546667
19364,-108.3403,25.2831,0.0625,302.3609,100740.625,63.646767,-0.16528332,4.8556433
19365,-108.0433,25.28738,0.015625,302.9234,100290.625,56.59989,1.8679198,4.07244
19366,-107.7463,25.29059,0.0234375,302.9234,99178.125,56.59989,2.026123,2.3273232
19367,-107.4492,25.29274,0.3984375,300.9234,97240.625,58.84208,2.032959,2.3224404
19368,-107.1522,25.29382,0.796875,291.14996,89178.125,68.41239,2.4001465,1.0226357
19369,-106.8551,25.29383,1.4140625,296.20465,85765.625,66.06865,3.1101072,1.238456
19370,-106.558,25.29278,1.4609375,288.89996,77178.125,64.63114,1.606201,-0.87482524
19371,-106.261,25.29066,1.40625,290.62653,76753.125,57.74833,2.659912,-1.2381065
19372,-105.964,25.28747,1.015625,290.6109,77153.125,57.25614,-1.0295411,-0.8494346
19373,-105.667,25.28322,0.2734375,294.52496,79153.125,41.295204,-1.1818849,-0.3884971
19374,-105.37,25.2779,0.15625,296.6812,80103.125,34.138954,-0.96899426,-0.5711143
19375,-105.0731,25.27151,0.09375,296.7437,80303.125,32.34989,-3.2180178,-0.27326274
19694,-113.9922,25.26715,0.0,291.0562,101490.625,92.107704,2.3083496,-3.4031456
19695,-113.6964,25.29169,0.0,291.02496,101478.125,92.63114,2.345459,-2.8347862
19696,-113.4005,25.31518,0.0,291.0484,101465.625,92.982704,2.3376465,-2.839669
19697,-113.1043,25.33761,0.0,291.0484,101478.125,92.982704,2.3415527,-2.435372
19698,-112.8079,25.35898,0.0,291.4312,101490.625,93.08427,2.5749512,-1.6843956
19699,-112.5114,25.3793,0.0,292.45465,101478.125,92.66239,2.3269043,-2.2107627
19700,-112.2146,25.39855,0.0078125,292.45465,101390.625,92.66239,1.7888182,-2.3064659
19701,-111.9178,25.41675,0.0,297.65778,100603.125,62.607708,1.6657714,-0.48615336
19702,-111.6207,25.43388,0.0,299.0484,99015.625,48.990517,1.8308104,-1.6638877
19703,-111.3235,25.44994,0.0,298.22028,96240.625,48.34989,2.0524902,-0.099434614
19704,-111.0262,25.46494,0.0,300.45465,97565.625,46.49833,0.2614745,3.5001748
19705,-110.7287,25.47888,0.0,300.9781,101103.125,70.795204,3.289795,2.026542
19706,-110.4312,25.49174,0.0,300.8687,101315.625,75.4124,0.45092762,4.4865026
19707,-110.1335,25.50354,0.0,300.7281,101315.625,78.55302,0.012451053,5.222831
19708,-109.8357,25.51427,0.0078125,300.6187,101315.625,80.81083,-0.70922863,5.4025183
19709,-109.5378,25.52393,0.1328125,300.46246,101315.625,83.10771,-0.69555676,5.403495
