,Longitude,Latitude,PM25,Date
335,-85.992647,33.991494000875,7.3,06/18/2022
704,-86.815,33.5530560008695,8.9,06/18/2022
1017,-87.003611,33.3311110008666,7.5,06/18/2022
1334,-86.549167,33.5452780008694,7.2,06/18/2022
1735,-86.924167,33.4997220008688,8.3,06/18/2022
2096,-86.9425,33.8016670008726,6.7,06/18/2022
2402,-86.796389,33.5652780008696,8.8,06/18/2022
2810,-86.58816,34.68547,6.3,06/18/2022
3173,-88.087761,30.7701810008299,16.4,06/18/2022
3565,-86.263394,32.4128110008542,7.5,06/18/2022
3951,-86.967536,34.5307170008815,7.3,06/18/2022
4305,-84.999653,32.437028,10.9,06/18/2022
4629,-88.277992,32.3626060008535,12.7,06/18/2022
5040,-149.824602,61.2058610007956,0.5,06/18/2022
5346,-147.727413,64.84569,10.8,06/18/2022
5544,-147.310279,64.762641,10.5,06/18/2022
5790,-147.69327,64.845930000725,10.3,06/18/2022
5988,-134.56723651676,58.3884971242076,7.8,06/18/2022
6316,-149.031655,61.534163,2.4,06/18/2022
6723,-113.5586,34.2439,10.0,06/18/2022
7040,-112.14256,33.4837800008686,9.0,06/18/2022
7365,-111.86536,33.4101800008677,6.7,06/18/2022
7677,-112.06619,33.5603100008696,8.2,06/18/2022
8002,-112.19193,33.5745300008697,6.7,06/18/2022
8331,-112.07526,33.4031400008676,11.9,06/18/2022
8660,-111.93471,33.4112300008677,9.3,06/18/2022
8983,-112.00264,33.41046,6.9,06/18/2022
9353,-112.11821,33.4265000008679,9.4,06/18/2022
9738,-112.095767,33.503833,10.8,06/18/2022
10063,-111.038389291448,32.3226614191457,3.8,06/18/2022
10439,-110.9823,32.29515,7.8,06/18/2022
10761,-110.99644,31.87952,6.6,06/18/2022
10935,-110.980134,32.1729950008509,7.5,06/18/2022
11111,-111.12716,32.38082,6.4,06/18/2022
11288,-110.965293,32.251843000852,8.2,06/18/2022
11522,-111.752222,32.8775830008606,9.2,06/18/2022
11872,-112.03705,32.884761,10.8,06/18/2022
12112,-110.936718,31.337204,7.3,06/18/2022
12433,-114.61444,32.690278,30.8,06/18/2022
12862,-90.1931407655994,35.1972876317392,10.8,06/18/2022
13713,-92.328697163421,34.6813433627688,3.7,06/18/2022
14122,-94.1168273808054,36.1797000452413,24.0,06/18/2022
14490,-104.93647,39.8281,4.3,06/18/2022
14987,-105.100856,40.1645760009301,8.5,06/18/2022
15515,-104.987625,39.7511840009277,10.3,06/18/2022
15842,-104.987625,39.7511840009277,5.4,06/18/2022
16169,-104.939925,39.7385780009277,6.2,06/18/2022
16586,-105.00518,39.77949,6.2,06/18/2022
16954,-105.0153,39.73217,4.1,06/18/2022
17276,-104.9886,39.7861,4.9,06/18/2022
17695,-105.070358,39.5344880009264,5.4,06/18/2022
